,Skills,Sub-skills,Goals,stage-1,stage-2,stage-3,stage-4,stage-5,stage-6
,,,,,,Make a prediction describing some possible outcomes of an enquiry.,Make a prediction describing some possible outcomes of an enquiry.,"Make predictions, referring to relevant scientific knowledge and understanding within familiar and unfamiliar contexts.","Make predictions, referring to relevant scientific knowledge and understanding within familiar and unfamiliar contexts."
,,,,,,Identify risks and explain how to stay safe during practical work.,Identify variables that need to be taken into account when doing a fair test.,"Plan fair test investigations, identifying the independent, dependent and control variables.","Plan fair test investigations, identifying the independent, dependent and control variables."
,,,,,,,Identify risks and explain how to stay safe during practical work.,Describe risks when planning practical work and consider how to minimise them.,Describe risks when planning practical work and consider how to minimise them.
,,,Carrying out scientific enquiry,"Sort and group objects, materials and living things based on observations of the similarities and differences between them.","Sort and group objects, materials and living things based on observations of the similarities and differences between them.","Use observations and tests to sort, group and classify objects.","Use observations and tests to sort, group and classify objects.","Sort, group and classify objects, materials and living things through testing, observation and using secondary information.","Sort, group and classify objects, materials and living things through testing, observation and using secondary information."
,,,,Use given equipment appropriately.,Use given equipment appropriately.,Choose equipment from a provided selection and use it appropriately.,"Use keys to identify objects, materials and living things.",Complete a key based on easily observed differences.,Complete a key based on easily observed differences.
,,,,Take measurements in non-standard units.,Take measurements in non-standard units.,"Take measurements in standard units, describing the advantage of standard units over non-standard units.",Choose equipment from a provided selection and use it appropriately.,Choose equipment to carry out an investigation and use it appropriately.,Choose equipment to carry out an investigation and use it appropriately.
,,,,Follow instructions safely when doing practical work.,Follow instructions safely when doing practical work.,Carry out practical work safely.,Describe how repeated measurements and/or observations can give more reliable data.,Decide when observations and measurements need to be repeated to give more reliable data.,Decide when observations and measurements need to be repeated to give more reliable data.
,,,,Collect and record observations and/or measurements by annotating images and completing simple tables.,Use a given secondary information source to find an answer to a question.,Use secondary information sources to research an answer to a question.,"Take measurements in standard units, describing the advantage of standard units over non-standard units.",Take appropriately accurate measurements.,Take appropriately accurate measurements.
,,,,,Collect and record observations and/or measurements by annotating images and completing simple tables.,Collect and record observations and/or measurements in tables and diagrams.,Carry out practical work safely.,Carry out practical work safely.,Carry out practical work safely.
,,,,,,,Use secondary information sources to research an answer to a question.,Use a range of secondary information sources to research and select relevant evidence to answer questions.,Use a range of secondary information sources to research and select relevant evidence to answer questions.
,,,,,,,Collect and record observations and/or measurements in tables and diagrams.,Collect and record observations and/or measurements in tables and diagrams appropriate to the type of scientific enquiry.,Collect and record observations and/or measurements in tables and diagrams appropriate to the type of scientific enquiry.
,,,"Scientific enquiry: analysis, evaluation and conclusions",Describe what happened during an enquiry and if it matched predictions.,Describe what happened during an enquiry and if it matched their predictions.,"Identify whether results support, or do not support, a prediction.","Identify whether results support, or do not support, a prediction.","Describe the accuracy of predictions, based on results.","Describe the accuracy of predictions, based on results."
,,,,,"Identify simple patterns in results, e.g. increasing and decreasing patterns.",Describe simple patterns in results.,Describe simple patterns in results.,"Describe patterns in results, including identifying any anomalous results.","Describe patterns in results, including identifying any anomalous results."
,,,,,Present and interpret results using tables and block graphs.,Make a conclusion from results and relate it to the scientific question being investigated.,Make a conclusion from results and relate it to the scientific question being investigated.,Make a conclusion from results informed by scientific understanding.,Make a conclusion from results informed by scientific understanding.
,,,,,,Present and interpret results using tables and bar charts.,"Present and interpret results using tables, bar charts and dot plots.",Suggest how an investigation could be improved and explain any proposed changes.,Suggest how an investigation could be improved and explain any proposed changes.
,,,,,,,,"Present and interpret results using tables, bar charts, dot plots and line graphs.","Present and interpret results using tables, bar charts, dot plots, line graphs and scatter graphs."
,,Biology,Structure and function,"Recognise and name the major parts of familiar flowering plants (limited to roots, leaves, stems and flowers).","Compare how animals, including humans, are similar and different in their external body parts and skin covering.","Describe the function of the major parts of flowering plants (limited to roots, leaves, stems and flowers).","Identify some of the important bones in the human body (limited to skull, jaw, rib cage, hip, spine, leg bones and arm bones).",Know that not all plants produce flowers.,"Describe the human circulatory system in terms of the heart pumping blood through arteries, capillaries and veins, describe its function (limited to transporting oxygen, nutrients and waste) and know that many vertebrates have a similar circulatory system."
,,,,"Identify the senses (limited to sight, hearing, taste, smell and touch) and what they detect, linking each to the correct body part.","Identify the different types of human teeth, explain how they are suited to their functions and describe how to care for teeth.","Identify the distinguishing features of different groups of animals, including fish, reptiles, mammals, birds, amphibians and insects.",Know that bones move because pairs of muscles that are attached to them contract and relax.,"Identify the parts of a flower (limited to petals, sepals, anthers, filaments, stamens, stigma, style, carpel, and ovary).",Describe the human respiratory system in terms of oxygen from the air moving into the blood in the lungs and know that many vertebrates have a similar respiratory system.
,,,,Recognise and name the major external parts of the human body.,,"Identify some of the important organs in humans (limited to brain, heart, stomach, intestine and lungs) and describe their functions.","Describe some of the important functions of skeletons (limited to protecting and supporting organs, enabling movement and giving shape to the body).","Describe the functions of the parts of a flower (limited to petals, anthers, stigma and ovary).",Name the parts of the human reproductive system.
,,,,,,,Know that some animals have an exoskeleton.,"Describe the human digestive system, including the functions of the organs involved (limited to mouth, oesophagus, stomach, small intestine, large intestine and anus), and know that many vertebrates have a similar digestive system.",
,,,,,,,Identify vertebrates as animals with a backbone and invertebrates as animals without a backbone.,,
,,,Life processes,Identify living things and things that have never been alive.,"Know that humans need to manage diet, maintain hygiene and move regularly to be healthy.","Describe differences between things that are living, that were once alive and that have never lived.","Know that medicines can be used to treat some illnesses, and describe how to use them safely.","Know that animals, including humans, need an adequate, balanced diet in order to be healthy.",Describe the physical changes that take place during puberty in humans.
,,,,"Know that animals, including humans, need air, water and suitable food to survive.",Describe what illness is and describe the common signs of illness in humans.,"Know that life processes common to plants and animals include nutrition, growth, movement and reproduction.","Know that plants and animals can have infectious diseases, and vaccinations can prevent some infectious diseases of animals.",Know the stages in the life cycle of a flowering plant.,"Know that some diseases can be caused by infection with viruses, bacteria, parasites or fungi that can be passed from one host to another."
,,,,Know that plants need light and water to survive.,"Describe how the offspring of animals, including humans, change as they become older.","Know that plants need appropriate conditions, including temperature, light and water, to be healthy.","Know that plants and animals need energy to grow, live and be healthy, and plants get their energy from light while animals get their energy from eating plants or other animals.","Describe how flowering plants reproduce by pollination, fruit and seed production, and seed dispersal.","Describe how good hygiene can control the spread of diseases transmitted in water, food and body fluids, and describe ways to avoid being bitten by insect vectors."
,,,,Describe how humans are similar to and different from each other.,"Know that animals, including humans, produce offspring that have a combination of features from their parents.","Describe and compare how the offspring of different animals grow into adults, including humans, birds, frogs and butterflies.",Describe the importance of movement in maintaining human health.,"Describe seed germination and know that seeds, in general, require water and an appropriate temperature to germinate.","Know that humans have defence mechanisms against infectious diseases, including skin, stomach acid and mucus."
,,,Ecosystems,,Know that an environment in which a plant or animal naturally lives is its habitat.,"Identify and describe simple food chains, where plants are producers and animals are consumers of plants and/or other animals.","Know that different animals are found in, and suited to, different habitats.","Describe how plants and animals are adapted to environments that are hot, cold, wet and/or dry.",Interpret food webs and identify food chains within them.
,,,,,Know that different habitats contain different plants and animals.,,Know plants and animals can survive in environments other than their habitats.,Describe how flowering plants are adapted to attract pollinators and promote seed dispersal.,"Know that some substances can be toxic and damage living things, and that these substances can move through a food chain/web."
,,,,,"Identify similarities and differences between local environments in terms of hot, cold, dry, wet, many plants, few plants, many animals and few animals.",,"Describe food chains as being made of producers and consumers, and classify consumers as herbivores, omnivores, carnivores, predators and/or prey.",Describe the common adaptations of predator and prey animals.,Identify the energy source of a food chain/web and describe how energy is transferred through a food chain/web.
,,Chemistry,Materials and their structure,"Identify, name, describe, sort and group common materials, including wood, plastic, metal, glass, rock, paper and fabric.",Understand that some materials occur naturally and others are manufactured.,"Know that materials can be solids, liquids or gases.",Describe the particle model for solids and liquids.,"Use the particle model to describe solid, liquids (including solutions) and gases.",
,,,,Understand the difference between an object and a material.,,"Understand that a mixture contains two or more materials, where the materials can be physically separated.","Understand the difference between materials, substances and particles.","Understand that substances can be gaseous and know the common gases at room temperature (limited to oxygen, carbon dioxide, water (vapour), nitrogen and hydrogen).",
,,,,,,,"Know that particles are in constant motion, even when in a solid.",,
,,,Properties of materials,Understand that all materials have a variety of properties.,Describe a property as a characteristic of a material and understand that materials can have more than one property.,Describe differences in the properties of solids and liquids.,Use the particle model to explain the properties of solids and liquids.,Know that the ability of a solid to dissolve and the ability of a liquid to act as a solvent are properties of the solid and liquid.,Know that the temperature at which a substance changes state is a property of the substance.
,,,,Describe common materials in terms of their properties.,Explain why materials are chosen for specific purposes on the basis of their properties.,"Understand that materials, generally, retain their properties within a mixture.","Describe and explain how some solids can behave like liquids (e.g. powders), referring to the particle model.","Know the main properties of water (limited to boiling point, melting point, expands when it solidifies, and its ability to dissolve a range of substances) and know that water acts differently from many other substances.","Know that gases have properties, including mass."
,,,,,Know that materials can be tested to determine their properties.,Describe how to separate solid/solid mixtures based on the physical properties of the solids (processes involving dissolving are not required).,,,Understand that electrical conductivity and thermal conductivity are properties of a substance.
,,,,,,Describe how to separate a mixture of an insoluble solid and a liquid.,,,
,,,Changes to materials,"Describe how materials can be changed by physical action, e.g. stretching, compressing, bending and twisting.",Know that some changes can turn a material into a different material.,"Know that when a solid dissolves in a liquid the solid is still present, and this is an example of mixing.","Describe solidification/freezing and melting, using the particle model to describe the change of state.","Describe the processes of evaporation and condensation, using the particle model and relating the processes to changes in temperature.",Identify and describe physical changes that are reversible.
,,,,,,,Understand that the change of state of a substance is a physical process.,Understand that dissolving is a reversible process and investigate how to separate the solvent and solute after a solution is formed.,Describe how temperature affects solids dissolving in liquids and relate it to the particle model.
,,,,,,,Know that some substances will react with another substance to produce one or more new substances and this is called a chemical reaction.,"Investigate and describe the process of dissolving, and relate it to mixing.",Describe the difference between boiling and evaporation.
,,,,,,,,,"Understand that chemical reactions involve substances, called reactants, interacting to form new substances, called products."
,,,,,,,,,"Observe and describe the evidence that a chemical reaction has taken place (limited to a gas being produced, colour change and change in temperature)."
,,Physics,Forces and energy,"Explore, talk about and describe the movement of familiar objects.",Know that forces can change the movement of an object.,Know that forces can be measured with a forcemeter.,"Know that energy is present in all matter and in sound, light and heat.","SPf. 01 Identify a range of forces (limited to gravity, applied forces, normal forces, upthrust, friction, air resistance and water resistance).","Describe the difference between mass, measured in kilograms ( kg ), and weight, measured in newtons (N)"
,,,,Describe pushes and pulls as forces.,Know that forces can change the shape of an object.,Know that gravity on Earth is a force that pulls towards the centre of the Earth.,"Know that energy cannot be made, lost, used up or destroyed but it can be transferred.","SPf. 02 Know that an object may have multiple forces acting upon it, even when at rest.","Describe the effect of gravity and know that when gravity changes, the weight of an object changes but the mass does not."
,,,,Explore that some objects float and some sink.,"Recognise that things will only speed up, slow down or change direction when something else causes them to do so.",Know that friction is a force created between surfaces when they move against each other and it makes this movement harder.,Know that energy is required for any movement or action to happen.,SPf. 03 Use force diagrams to show the name and direction of forces acting on an object.,"Use force diagrams to show the name, size and direction of forces acting on an object."
,,,,,,Describe how smooth and rough surfaces can generate different amounts of friction.,"Know that not all energy is transferred from one object to another, but often some energy during a process can be transferred to the surrounding environment and this can be detected as sound, light or temperature increase.",,Describe the effect of different forces on an object at rest and in motion.
,,,Light and sound,Identify different sources of sound.,"Know that there are many light sources, including the Sun.","Investigate how light can pass through some materials and is blocked by others, and use the terms transparent, translucent and opaque.",Know that light travels in straight lines and this can be represented with ray diagrams.,Investigate how sounds are made by vibrating sources.,Describe how a ray of light changes direction when it is reflected from a plane mirror.
,,,,Explore that as sound travels from a source it becomes quieter.,Know that darkness is the absence of light.,Know that shadows are formed when light from a source is blocked by an object.,Know that light can reflect off surfaces.,Describe sounds in terms of high or low pitch and loud or quiet volume.,Describe how a ray of light changes direction when it travels through different mediums and know that this is called refraction.
,,,,,,Investigate how the size of a shadow is affected by the position of the object and the position of the light source.,Describe how objects which are not light sources are seen.,Investigate how to change the volume and pitch of sounds.,
,,,Electricity and magnetism,Identify things that require electricity to work.,Identify how we use electricity and describe how to be safe with it.,Describe magnets as having a north pole and a south pole.,Know that an electrical device will not work if there is a break in the circuit.,Know the difference between a magnet and a magnetic material.,"Use diagrams and conventional symbols to represent, make and compare circuits that include cells, switches, lamps and buzzers."
,,,,"Explore, talk about and describe what happens when magnets approach and touch different materials.","Recognise the components of simple circuits (limited to cells, wires and lamps).","Describe how magnets interact when near each other, using the terms repel and attract.",Describe how a simple switch is used to open and close a circuit.,"Know that forces act over a distance between magnets, and between a magnet and a magnetic material.",Make simple circuits and compare the brightness of lamps in series and parallel circuits.
,,,,,"Explore the construction of simple series circuits (limited to cells, wires and lamps).",Investigate how some materials are magnetic but many are not.,Describe how changing the number or type of components in a series circuit can make a lamp brighter or dimmer.,Know that magnets can have different magnetic strengths.,
,,,,,,,"Know some materials are good electrical conductors, especially metals, and some are good electrical insulators.",,
,,Earth and Space,Planet Earth,Know that Earth is mostly covered in water.,Describe and compare different types of rock.,"Know that planet Earth is the source of all the materials we use and that many useful materials, including oil, natural gas and metals, come from or are found in rocks.","Describe the model of the structure of the Earth which includes a core, a mantle and a crust.","Know that the Earth is surrounded by a layer of air called the atmosphere, which is a mixture of different gases (including nitrogen, carbon dioxide and oxygen).","Know that rocks can be classified as metamorphic, igneous and sedimentary, and describe the identifying features of each type of rock."
,,,,Describe land as being made of rock and soil.,"Know rocks are extracted from the Earth in different ways, including from quarries, mines and riverbeds.","Know that fossils are impressions, or remains, of things that were once alive.",Describe common features of volcanoes and know they are found at breaks in the Earth's crust.,Understand that most water on Earth is not pure and has dissolved substances in it.,Describe the way fossils can form in sedimentary rocks.
,,,,,Know that human activity can affect the environment.,,Know that the Earth's crust moves and when parts move suddenly this is called an earthquake.,Understand that pollution is the introduction of substances by humans that harm the environment and identify examples of pollution.,"Know that there are different types of soils and they can be classified based on their clay, sand and organic content."
,,,,,,,,,"Know that soil composition can change, which can support, or hinder, plant growth."
,,,Cycles on Earth,,,,,"Describe the water cycle (limited to evaporation, condensation and precipitation).","Describe the rock cycle and the formation of metamorphic, igneous and sedimentary rocks in terms of solidification, erosion, sedimentation, burial, metamorphism and melting."
,,,Earth in space,Know that Earth is the planet on which we live.,Describe the apparent movement of the Sun during the day.,Describe the regular change in the position and appearance of the Moon.,"Explain why the spinning of the Earth on its axis leads to the apparent movement of the Sun, night and day, and changes in shadows.","Describe the orbit of the Earth around the Sun (limited to slight ellipse, anticlockwise direction and the duration).","Describe the relative position and movement of the planets, the Moon and the Sun in the Solar System."
,,,,"Describe the Sun as a source of heat and light, and as one of many stars.",,Describe the relative movement of the Earth and Moon.,Name the planets in the Solar System.,Describe how the tilt of the Earth can create different seasons in different places.,Observe and describe the changes in the appearance of the Moon over its monthly cycle.
,,,,,,"Describe the Earth, Sun and Moon as approximately spherical.",Know that the Sun is at the centre of the Solar System.,,
,,,,,,,"Know that planetary systems can contain stars, planets, asteroids and comets.",,
,,Science in Context,Science in Context,Talk about how some of the scientific knowledge and thinking now was different in the past.,Talk about how some of the scientific knowledge and thinking now was different in the past.,Talk about how some of the scientific knowledge and thinking now was different in the past.,Describe how scientific knowledge and understanding changes over time through the use of evidence gained by enquiry.,Describe how scientific knowledge and understanding changes over time through the use of evidence gained by enquiry.,Describe how scientific knowledge and understanding changes over time through the use of evidence gained by enquiry.
,,,,"Talk about how science explains how objects they use, or know about, work.","Talk about how science explains how objects they use, or know about, work.","Talk about how science explains how objects they use, or know about, work.",Describe how science is used in their local area.,Describe how science is used in their local area.,Describe how science is used in their local area.
,,,,Know that everyone uses science and identify people who use science professionally.,Know that everyone uses science and identify people who use science professionally.,Know that everyone uses science and identify people who use science professionally.,"Use science to support points when discussing issues, situations or actions.","Use science to support points when discussing issues, situations or actions.","Use science to support points when discussing issues, situations or actions."
,,,,Talk about how science helps us understand our effect on the world around us.,Talk about how science helps us understand our effect on the world around us.,Talk about how science helps us understand our effect on the world around us.,"Identify people who use science, including professionally, in their area and describe how they use science.","Identify people who use science, including professionally, in their area and describe how they use science.","Identify people who use science, including professionally, in their area and describe how they use science."
,,,,,,,Discuss how the use of science and technology can have positive and negative environmental effects on their local area.,Discuss how the use of science and technology can have positive and negative environmental effects on their local area.,Discuss how the use of science and technology can have positive and negative environmental effects on their local area.
,,,,,,,,,
,Computing,Computational Thinking,Computational Thinking,Follow the steps in algorithms for everyday tasks.,Follow and understand linear algorithms.,"Follow, understand, edit and correct linear algorithms.","Follow, understand, edit and correct algorithms that use repetition, including indefinite (forever) loops.","Follow, understand, edit and correct algorithms that contain selection.",Follow and understand algorithms that are presented as flowcharts.
,,,,Identify single errors in algorithms that represent everyday events or tasks.,Identify and correct a single error in algorithms that represent everyday events or tasks.,Understand that efficient algorithms are concise.,"Follow, understand, edit and correct algorithms that use iteration, including countcontrolled loops.","Understand that different algorithms can be used to complete a task, with some algorithms being more efficient than others.","Understand the symbols used in flowcharts, limited to start, stop, process, procedure (sub-routine), decision and the connector."
,,,,"Know how to give simple instructions, using directional language (forward, backwards, left, right), to navigate a path.",Know that an algorithm is a precise set of instructions.,Identify steps that are repeated within everyday tasks.,Understand that the use of repetition can make algorithms more concise.,Predict the outcome of algorithms that contain a selection statement.,Predict the outcomes of flowcharts.
,,,,"Suggest sets of ordered instructions to complete simple tasks, such as drawing a picture of a particular object or building a brick tower.","Identify the steps needed to undertake tasks, in order to develop simple algorithms.",Know that logical thinking is used in the creation of algorithms.,Compare and contrast algorithms designed for the same task to determine which produces the outcome that is best suited to the purpose.,"Understand and use variables in algorithms, including how to assign a variable to a specific value.",Know that variables can be used in different algorithms.
,,,,Know that an algorithm is a set of instructions to complete a task or to solve a problem.,Predict the outputs of algorithms.,Predict the outcome of a change to an algorithm that is presented as a sequence of steps.,Predict the outcome of algorithms that contain repetition.,Know how to develop algorithms where two objects interrelate.,Know that the same sub-routine can be used multiple times in an algorithm.
,,,,Know that the order of instructions is important when creating algorithms.,"Know how to develop precise sets of instructions to complete simple tasks, such as drawing a picture of a particular object or building a brick tower.",Know that many tasks can be divided into smaller sections to make them easier to follow and to edit.,Understand that decomposition is a process that is used to break tasks into different parts (sub-routines).,"Understand and use selection in algorithms, limited to IF, THEN, ELSE.",Know that a sub-routine can be used in different algorithms.
,,,,Suggest ways that algorithms can be changed to affect the outcome.,,Identify the inputs to algorithms.,"Know how to use decomposition to break tasks into different parts, represented as algorithms.",Understand and use comparison (equal to) operators in algorithms.,Know how to develop algorithms that include two or more variables.
,,,,,,Know how to develop linear algorithms to produce an output based on an input.,Follow and understand algorithms that use a sub-routine.,"Understand and use arithmetic (,+- ) operators in algorithms.","Understand and use arithmetic (,+- *, /) operators in algorithms."
,,,,,,,Know how to develop algorithms to produce different outputs based on different inputs.,,
,,,,,,,Know how to develop algorithms that include repetition.,,
,,Programming,Programming,Know that algorithms can be recreated as code on computers.,Understand that programs instruct computers how to run algorithms.,"Understand the benefit of editing programs to make them clear and concise, including removing unused commands or combining duplicated commands.",Know how to add comments to blocks of code and explain the benefits of these comments.,Understand the importance of creating a clear name for each variable.,"Explain the use of constructs in programming, including sequence, selection and iteration."
,,,,Know how to recreate algorithms as programs to perform simple tasks.,Know how to recreate algorithms as programs.,Know how to develop programs that include code to reset objects to their original state (initialisation).,Know how to develop programs with repetition.,Know how to develop programs where two or more objects can interact.,Know how to develop block-based programs with a procedure (sub-routine) to define commonly used sections of code.
,,,,Predict what is likely to happen when programs are run.,"Know how to develop programs to produce desired outputs, including the use of the repeat command.",Know how to create programs with more than one algorithm running at the same time.,Know how to develop programs with iteration.,Know how to develop programs with a variable assigned to a specific value.,Know how to develop block-based programs where multiple algorithms interrelate.
,,,,Know that programs can contain errors.,Know how to plan the instructions for objects within programs.,"Know how to develop programs that contain more than one object, including a static object.","Know how to develop programs that produce a desired output, which includes the use of the repeat command.","Know how to develop programs with simple conditional, or selection, statements, including IF, THEN, ELSE, to produce different outputs.","Know how to develop block-based programs using data types, including Integer, Character and String."
,,,,Know how to run programs to test whether they produce the desired result.,Understand the benefits of working with others when debugging programs.,"Know how to make a change within a block of code to achieve desired outcomes in programs, such as changing the number of steps a sprite moves.",Know how to develop programs that produce different outputs from different inputs.,Know how to develop programs with 'equal to' comparison operators.,"Know how to develop block-based programs with combined constructs across multiple objects and that meet set criteria, including: variables, conditionals (selection), arithmetic and comparison operators, loops, procedures, interaction."
,,,,Identify why a program does not produce the desired result.,Identify the benefits of regularly testing programs throughout their development.,Know how to create programs to produce an output from an input device.,"Know how to plan the instructions for objects within programs, including identifying inputs and outputs.",Know how to develop programs with a variable modified using arithmetic operators.,Describe the role of prototypes when designing programs.
,,,,Know that 'debugging' is the correction of errors in programs.,Know how to debug programs so that they will run and will produce the desired output.,Outline the benefits of working with others when creating programs.,"Know how to test different parts of a program systematically, to identify and debug errors.","Know how to identify the purpose, events and expected outcomes to write an outline plan for a program.","Know how to develop prototypes of interfaces for programs, including suitable prompts for its users."
,,,,,Know how to enter directional instructions in to a physical computing device to enable it to reach a specific destination.,Understand that programmers use their mistakes to inform the programs that they create.,Know how to develop programs for a physical computing device to produce outputs from input devices.,"Know how to plan the instructions for objects within a program, including the identification of the outcomes of conditions and the data stored.",Know how to follow project plans to develop programs.
,,,,,,Know how to test and debug programs so that they run and produce the desired output.,Know how to develop programs for a physical computing device using count-controlled and indefinite (forever) loops.,Outline that the creation of a final program often requires input from people with a range of skills.,Define and use criteria to evaluate programs.
,,,,,,Know how to develop programs for a physical computing device to produce outputs.,,Evaluate programs against given criteria.,Know how to test programs using a range of data.
,,,,,,,,"Know how to develop programs for a physical computing device with simple conditional statements, including IF, THEN, ELSE, to produce different outputs.","Know how to develop programs for a physical computing device to generate outputs based on a range of inputs, including the use of a variable."
,,Managing Data,Managing Data,Know that computing devices can be used in different ways to answer many different types of question.,Know the advantages of storing data and information on computers.,Identify problems that can be solved through the collection and interpretation of data.,Understand the differences between physical (paper-based) and digital databases.,"Know that a range of computing tools may be used during a statistical investigation, including data loggers, spreadsheets and databases, and document production tools.",Identify the role of different computing tools when planning statistical investigations.
,,,,Know that computing devices can help to sort and organise data.,Know how to use computing devices to present categorical data.,"Identify and investigate different ways of representing discrete and categorical data, using a digital tool.",Understand the advantages and disadvantages of using forms when collecting data.,"Identify different ways of representing categorical, discrete, and continuous data, using computing devices.",Design appropriate forms to capture continuous data for given purposes.
,,,,"Know how to use computing devices to manually record data, including using a form.",Investigate different ways of using computing devices to collect categorical data for a particular purpose.,"Know how to record discrete and categorical data, using computing devices.",Identify the differences between data and information.,Know how to modify representations of data to suit different criteria.,"Design spreadsheets that include a combination of features, including cell referencing, arithmetic operators and functions limited to SUM, and AVERAGE."
,,,,"Identify questions that can be answered using data tables, limited to categorical data.",Identify types of statistical data that can be manually recorded using computing devices.,Know that spreadsheets are comprised of rows and columns of cells and that data can be entered into the cells.,"Know how to sort data into a required order, including descending or ascending numerical values and alphabetically.","Know how to collect data for sets of related questions, limited to categorical and discrete data.",Select data that is relevant for particular purposes.
,,,,,"Discuss the different types of data that a question may generate, limited to statistical and non-statistical.","Know how to format cells according to their purpose, such as date, currency and text.",Identify appropriate data types for a field within a data table.,"Know that cells can be restricted to accept only certain data types, limited to text, date and number.","Design and create single table databases, including data attributes and data types, for given purposes."
,,,,,Understand how data may help to solve problems.,Demonstrate how to select data based upon their characteristics to solve problems.,Know how to use a database to answer a single question.,"Know how to use the arithmetic operators, including, +, -, *, /, and simple functions, such as SUM and AVERAGE, in a spreadsheet.",Know how to use phrase searching to find information in databases.
,,,,,,,"Identify data, records and fields within a data table.",Identify the impact of changes to individual data items.,"Know that data is used to solve problems in a range of industries, including health, manufacture and retail."
,,,,,,,,"Know how to identify data based on a single criterion, including data that matches a key word.",
,,Networks and Digital Communication,Networks and Digital Communication,Know that some devices can connect to each other to make a network.,"Identify a range of devices that can connect to a network, including to the internet.","Identify networked hardware in a familiar environment, including the school and home.",Explain the role of servers and clients in a network.,Explain the role of servers and clients in a network.,"Know that a range of digital content is stored on servers, including streaming and messaging services."
,,,,Know that the internet consists of many computers that are connected together around the world.,Know that two devices working together can achieve things that neither device can achieve on its own.,"Identify services that are available on familiar networks, including digital files, printed documents and the World Wide Web.",Describe the differences between the World Wide Web and the internet.,Describe the differences between the World Wide Web and the internet.,"Explain that digital devices can transfer data wirelessly using radio waves, including wi-fi and cellular networks."
,,,,Identify that some devices are connected by wires and that other devices are not.,Know that there are wired and wireless networks.,Understand the advantages and disadvantages of a network.,"Describe the differences between wi-fi and ethernet, including speed, security and the use of wires.","Describe the differences between wi-fi and ethernet, including speed, security and the use of wires.",Understand how bandwidth affects network performance.
,,,,Know that there are times when the internet is not available.,Know how to recognise when a network is and is not available.,Know that ciphers are a way of making sure that information stays secret.,Identify issues that may occur as a result of a failure in a network.,Identify issues that may occur as a result of a failure in a network.,Know that a network can become overloaded if there are too many devices connected to it.
,,,,,Know that network connected devices share information with each other and that there are risks associated with this.,"Know how to write and decode messages using very simple code, including converting letters to numbers (1=a, 2=b, etc.).",Identify where and why encryption is used in digital systems.,Identify where and why encryption is used in digital systems.,Explain the need to keep data secure during transmission.
,,,,,,,Know how to write and decode messages using the Caesar Cipher and the Pigpen Cipher.,Know how to write and decode messages using the Caesar Cipher and the Pigpen Cipher.,"Describe the different types of user authentication, including password, fingerprint and facial recognition."
,,Computer Systems,Computer Systems,"Know that there are a range of computer systems with different functions, including communication, entertainment, creativity, research and for controlling other technology.",Use the correct terminology to explain the functions of basic hardware and software.,Know that the hardware and software components of computing devices combine to form a working system.,Identify examples where a control system is used.,"Describe the scale of the computing devices and mechanisms that are connected to the internet, either for data input or as actuators to make something happen, both in the home and globally.","Know how to select hardware and software components, while considering a range of factors such as functionality, cost, speed and aesthetics."
,,,,"Know that computers can run many different programs, including games, apps and document creation tools.","Identify some features that make digital devices easy to use, including their physical parts and their functions.","Know the differences between hardware and software, and compare the different roles that they perform in computer systems.",Know the functions of application and systems software.,Know that there are a range of storage devices that can be used within computer systems.,"Know that there are many different programming environments, such as block-based and text-based, and that some are more appropriate to use in a given situation."
,,,,Know that information and data can be input to computers in many different ways.,Know the difference between input and output devices.,Identify a range of manual and automatic input devices.,"Identify a range of data recorded by input devices in computer systems, including data that is collected through sensors and data loggers.","Know that computers represent data in binary (0,1).","Explain that analogue data must be digitised (converted into a numerical form) for processing by a computer, as computers can only store, process and communicate digital information."
,,,,Know that computers can output information in many different ways.,Identify tasks that computers can complete more effectively than humans.,"Know that different types of file can be stored on a computer's hard drive, including text, audio, image, video and games.",Identify a range of information communicated by output devices in computer systems.,"Identify bits, bytes, kilobytes and megabytes, making links to memory size and storage.","Identify nibbles, bits, bytes (kilobyte, megabyte, gigabyte, terabyte), making links to memory size and storage."
,,,,Know that there are many everyday devices that use computers to control what they do.,"Understand that people use different types of computer device depending on a range of factors, including their location or their purpose.",Know that computers can be programmed to control machines and other physical objects.,"Identify that different types of file have different sizes, including text, audio, image, video and games.","Describe the input-process-output model and illustrate with examples relating to different devices, including control systems, printing and audio production.",Explain the role of a processor within a computer.
,,,,Identify what robots are and where they may be found in the real world.,Compare the representation of robots in fiction with real robots that have a real world purpose.,Identify common 'Internet of Things' devices in a familiar environment.,Describe the role of computer scientists in a range of industries.,Know that Artificial Intelligence (AI) is a simulation of human intelligence within computer systems.,Explain the role of primary and secondary storage within a computer.
,,,,,,Explain the role of robots in manufacturing.,"Identify the role of robots in service industries, including for delivery services, public transport and health care.","Know that AI is used within common productivity software, limited to predictive text or speech to text.",Know that robots can work autonomously.
,,,,,,,,,"Identify benefits of using robotics in industry, such as car manufacturing or food production."
,,,,,,,,,
,Humanities,People,Community,Describe what makes up a community and why people like living together.,,,Analyse the characteristics that communities share and the benefits of being part of a community.,,
,,,,Identify what people need to live well in a community.,,,Analyse what a community needs to function well.,,
,,,,Explain how different people contribute to their communities.,,,Evaluate how communities are organised and led.,,
