Skills,Sub-skills,Goal,Stage-7,Stage-8,Stage-9
,,,,"Begin to combine the use of structural, linguistic and literary features to create a specific effect.","Establish and sustain distinctive voices, both personal and for different characters."
,,,,,"Combine the use of structural, linguistic and literary features to create a specific effect."
,,Presentation and reflection,"Sustain a fast, fluent and legible handwriting style.","Sustain a fast, fluent and legible handwriting style.","Sustain a fast, fluent and legible handwriting style."
,,,Use different ways of note-taking when writing for different purposes and use notes to inform writing.,Use the most appropriate way of note-taking for the identified purpose and use notes to inform writing.,"Make an informed choice about how to present information when making notes, including the use of multiple styles, and use notes to inform writing."
,,,"Use different layouts and presentation in a variety of texts (handwritten, printed and onscreen).","Use specific choices and combinations of layouts and presentation to create particular effects in texts (handwritten, printed and onscreen).",Use the most appropriate text layout and presentation to create impact and engage the audience.
,,,"Evaluate and edit to improve the accuracy and effectiveness of language, grammar and structure of own and others' writing.","Evaluate and edit to improve the accuracy and effectiveness of language, grammar and structure of a range of different texts.","Evaluate and edit to improve the accuracy and effectiveness, in relation to identified purpose and audience, of language, grammar and structure in a range of different texts."
,Speaking and Listening,Making yourself understood,"Adapt speech, including length, pace and tone, in a range of contexts, showing some awareness of its impact.",Adapt speech purposefully in a range of familiar and unfamiliar contexts to maximise its impact on the audience.,Adapt speech judiciously in a range of familiar and unfamiliar contexts to maximise its impact on the audience.
,,,"Shape talk for clarity and effect, and to engage the listener, in a range of familiar contexts.",Sustain an effective organisation of talk in a range of familiar contexts.,Sustain an effective organisation of talk in a range of familiar and unfamiliar contexts.
,,,Use language to express concrete and abstract ideas and opinions in detail.,Adapt language to express complex ideas and opinions in detail.,Manipulate language to express complex ideas and opinions in detail.
,,,Use non-verbal communication techniques to enhance meaning.,Use non-verbal communication techniques to enhance meaning.,Use non-verbal communication techniques to enhance meaning.
,,,Adapt communication to create appropriate impact on different audiences.,Adapt communication to create appropriate impact on different audiences.,Adapt communication to create appropriate impact on different audiences.
,,Showing understanding,"Listen, analyse what is heard, and give a reasoned response that draws on a range of sources.","Listen, evaluate what is heard, and generate a reasoned response that draws on a range of sources.","Listen, synthesise what is heard, and generate a reasoned response that draws on a range of sources."
,,Group work and discussion,"Independently identify and take up group roles as needed, and demonstrate expertise.","Independently identify and take up group roles as needed, and demonstrate expertise.","Independently identify and take up group roles as needed, and demonstrate expertise."
,,,Identify points of agreement and disagreement in opposing points of view.,Explore points of agreement and disagreement to gain a greater understanding of the issues and meet the needs of the task.,Explore points of agreement and disagreement to gain a greater understanding of the issues and meet the needs of the task.
,,,"Summarise and develop a discussion, responding sensitively to the range of ideas.",Develop a discussion by synthesising and building on the shared ideas.,Shape the direction and content of a discussion with well-judged contributions.
,,,"Be sensitive to others when turn-taking, ensuring that the intended outcome of the discussion is achieved.","Balance the needs of others and the task when turn-taking, showing sensitivity about when to contribute and when to listen.",Demonstrate the ability to compromise during turn-taking to prioritise the achievement of the intended outcome of the discussion.
,,Performance,"Read aloud with confidence, accuracy and style.","Read aloud with confidence, accuracy and style.","Read aloud with confidence, accuracy and style."
,,,Show evidence of reading ahead when reading an unseen text aloud.,Show evidence of reading ahead when reading an unseen text aloud.,Show evidence of reading ahead when reading an unseen text aloud.
,,,"Show insight into texts and issues through choice of speech, gesture and movement, within drama.","Demonstrate empathy and understanding of a range of characters through flexible choice of speech, gesture and movement in a dramatic scene.","Explore complex ideas and issues in drama, establishing roles and applying dramatic approaches with confidence."
,,,"Plan and deliver presentations confidently in a range of contexts, making choices about the most appropriate media.","Plan and deliver presentations and persuasive speeches confidently in a range of contexts, making choices about the most appropriate media.","Plan and deliver presentations and persuasive speeches confidently in a range of contexts, making choices about the most appropriate media."
,,,Plan and deliver a persuasive speech in a familiar context.,"Make decisions about the level of support needed to deliver a speech or presentation, e.g. reading aloud, using notes, visual aids.","Make decisions about the level of support needed to deliver a speech or presentation, e.g. reading aloud, using notes, visual aids."
,,Reflection and evaluation,"Evaluate own and others' talk, including giving constructive feedback.","Evaluate own and others' talk, including giving constructive feedback.","Evaluate own and others' talk, including giving constructive feedback."
,,,"Explain features of communication, showing awareness of the impact of accommodating different purposes and contexts.",Discuss the meaning and impact of variations when communicating.,Analyse the meaning and impact of variations in own and others' communication.
,,,,,
